total_bill,tip,gender,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID
16.99,1.01,Female,No,Sun,Dinner,2,8.49,Christy Cunningham,3.56033E+15,Sun2959
10.34,1.66,Male,No,Sun,Dinner,3,3.45,Douglas Tucker,4.47807E+15,Sun4608
21.01,3.5,Male,No,Sun,Dinner,3,7,Travis Walters,6.01181E+15,Sun4458
23.68,3.31,Male,No,Sun,Dinner,2,11.84,Nathaniel Harris,4.67614E+15,Sun5260
24.59,3.61,Female,No,Sun,Dinner,4,6.15,Tonya Carter,4.83273E+15,Sun2251
25.29,4.71,Male,No,Sun,Dinner,4,6.32,Erik Smith,2.1314E+14,Sun9679
8.77,2,Male,No,Sun,Dinner,2,4.38,Kristopher Johnson,2.22373E+15,Sun5985
26.88,3.12,Male,No,Sun,Dinner,4,6.72,Robert Buck,3.51479E+15,Sun8157
15.04,1.96,Male,No,Sun,Dinner,2,7.52,Joseph Mcdonald,3.52287E+15,Sun6820
14.78,3.23,Male,No,Sun,Dinner,2,7.39,Jerome Abbott,3.53212E+15,Sun3775
10.27,1.71,Male,No,Sun,Dinner,2,5.14,William Riley,5.66288E+11,Sun2546
35.26,5,Female,No,Sun,Dinner,4,8.82,Diane Macias,4.57782E+15,Sun6686
15.42,1.57,Male,No,Sun,Dinner,2,7.71,Chad Harrington,5.77041E+11,Sun1300
18.43,3,Male,No,Sun,Dinner,4,4.61,Joshua Jones,6.01116E+15,Sun2971
14.83,3.02,Female,No,Sun,Dinner,2,7.42,Vanessa Jones,3.00167E+13,Sun3848
21.58,3.92,Male,No,Sun,Dinner,2,10.79,Matthew Reilly,1.80073E+14,Sun1878
10.33,1.67,Female,No,Sun,Dinner,3,3.44,Elizabeth Foster,4.24003E+15,Sun9715
16.29,3.71,Male,No,Sun,Dinner,3,5.43,John Pittman,6.52134E+15,Sun2998
16.97,3.5,Female,No,Sun,Dinner,3,5.66,Laura Martinez,3.04223E+13,Sun2789
20.65,3.35,Male,No,Sat,Dinner,3,6.88,Timothy Oneal,6.56807E+15,Sat9213
17.92,4.08,Male,No,Sat,Dinner,2,8.96,Thomas Rice,4.4033E+15,Sat1709
20.29,2.75,Female,No,Sat,Dinner,2,10.14,Natalie Gardner,5.44813E+15,Sat9618
15.77,2.23,Female,No,Sat,Dinner,2,7.88,Ashley Shelton,3.52412E+15,Sat9786
39.42,7.58,Male,No,Sat,Dinner,4,9.86,Lance Peterson,3.54258E+15,Sat239
19.82,3.18,Male,No,Sat,Dinner,2,9.91,Christopher Ross,3.67391E+13,Sat6236
17.81,2.34,Male,No,Sat,Dinner,4,4.45,Robert Perkins,3.05029E+13,Sat907
13.37,2,Male,No,Sat,Dinner,2,6.68,Kyle Avery,6.53134E+15,Sat6651
12.69,2,Male,No,Sat,Dinner,2,6.34,Patrick Barber,3.01556E+13,Sat394
21.7,4.3,Male,No,Sat,Dinner,2,10.85,David Collier,5.52969E+15,Sat3697
19.65,3,Female,No,Sat,Dinner,2,9.82,Melinda Murphy,5.48927E+15,Sat2467
9.55,1.45,Male,No,Sat,Dinner,2,4.78,Grant Hall,3.01965E+13,Sat4099
18.35,2.5,Male,No,Sat,Dinner,4,4.59,Danny Santiago,6.30416E+11,Sat4947
15.06,3,Female,No,Sat,Dinner,2,7.53,Amanda Wilson,2.13186E+14,Sat1327
